id,name,wkt
147,25325,"POLYGON((529135.411 5072281.0,529124.754 5072269.0,529107.62 5072258.0,529065.066 5072273.813,529074.427 5072300.023,529135.411 5072281.0))"
148,25326,"POLYGON((529132.461 5072324.36,529132.461 5072282.238,529075.363 5072300.023,529081.915 5072330.912))"
149,25327,"POLYGON((529131.525 5072323.424,529084.723 5072332.784,529083.787 5072361.801,529138.077 5072383.33))"
150,25328,"POLYGON((529022.008 5072186.761,529040.445 5072169.0,529059.51 5072099.0,528993.927 5072129.663))"
151,25329,"POLYGON((529137.141 5072380.522,529081.915 5072361.801,529062.258 5072383.33,529090.919 5072404.0,529106.775 5072407.0))"
152,25330,"POLYGON((529090.919 5072404.0,529040.729 5072375.842,529035.113 5072417.964,529090.919 5072404.0))"
153,25331,"POLYGON((529049.153 5072450.725,529106.775 5072407.0,529090.919 5072404.0,529035.113 5072417.964))"
154,25332,"POLYGON((529059.45 5072482.551,529099.7 5072439.493,529093.147 5072419.836,529049.153 5072450.725))"
155,25333,"POLYGON((529121.229 5072461.958,529102.508 5072436.685,529060.386 5072480.679,529070.682 5072490.975))"
156,25334,"POLYGON((529102.602 5072514.0,529122.069 5072465.0,529068.81 5072489.103,529102.602 5072514.0))"
157,25335,"POLYGON((529135.863 5072495.0,529140.886 5072478.807,529122.069 5072465.0,529102.602 5072514.0,529106.689 5072514.0,529135.863 5072495.0))"
158,25336,"POLYGON((529143.512 5072523.0,529145.124 5072520.0,529135.863 5072495.0,529106.689 5072514.0,529122.193 5072527.0,529143.512 5072523.0))"
159,25337,"POLYGON((529163.161 5072560.621,529143.512 5072523.0,529122.193 5072527.0,529135.776 5072575.631,529151.067 5072569.192))"
160,25338,"POLYGON((529128.717 5072567.731,529122.193 5072527.0,529106.689 5072514.0,529102.602 5072514.0,529064.13 5072514.376,529066.002 5072622.957,529105.316 5072626.701,529112.804 5072568.667))"
161,25339,"POLYGON((529167.532 5072513.0,529145.124 5072520.0,529143.512 5072523.0,529164.749 5072561.144,529167.532 5072513.0))"
162,25340,"POLYGON((529167.532 5072513.0,529174.583 5072478.807,529143.694 5072477.871,529135.863 5072495.0,529145.124 5072520.0,529167.532 5072513.0))"
